well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
H15,D08,D8,plate3,D,08,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,6875,2384,6906,3722
H16,D08,D8,plate4,D,08,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,7177,2176,7743,3756
H17,D09,D9,plate3,D,09,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,8775,2509,8447,3646
H18,D09,D9,plate4,D,09,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,8067,2119,7407,3126
H19,D10,D10,plate3,D,10,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,10686,3036,8030,3629
H20,D10,D10,plate4,D,10,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,6521,1675,6643,3148
H21,D11,D11,plate3,D,11,MATa,0,1,1,env3,MATa,MATa,4627,1450,8202,5523
H22,D11,D11,plate4,D,11,MATa,0,1,1,env3,MATa,MATa,4643,1363,7876,5345
H23,D12,D12,plate3,D,12,MATa,0,1,1,env3,MATa,MATa,8741,3302,8218,5968
H24,D12,D12,plate4,D,12,MATa,0,1,1,env3,MATa,MATa,4412,1815,8757,6718
I01,E01,E1,plate1,E,01,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,16430,8532,11606,7775
I02,E01,E1,plate2,E,01,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,16912,5636,10510,4894
I03,E02,E2,plate1,E,02,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,11645,4827,12039,6766
I04,E02,E2,plate2,E,02,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,14725,6687,9598,6088
I05,E03,E3,plate1,E,03,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,11715,4723,10781,5952
I06,E03,E3,plate2,E,03,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,10461,4683,9621,5934
I07,E04,E4,plate1,E,04,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,15639,5595,11210,6455
I08,E04,E4,plate2,E,04,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,15361,4674,10700,5422
I09,E05,E5,plate1,E,05,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,11339,5027,9578,6303
I10,E05,E5,plate2,E,05,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,12594,3810,10532,5531
