well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
H14,D07,D7,plate4,D,07,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,15738,13509,16340,13795
H15,D08,D8,plate3,D,08,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,11266,9047,10305,7544
H16,D08,D8,plate4,D,08,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,15910,13275,16512,13286
H17,D09,D9,plate3,D,09,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,15824,13533,17200,14312
H18,D09,D9,plate4,D,09,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,14362,11898,16770,13247
H19,D10,D10,plate3,D,10,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,16512,14002,17888,14584
H20,D10,D10,plate4,D,10,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,14964,13125,17028,14592
H21,D11,D11,plate3,D,11,MATa,0,1,1,YPD,MATa,MATa,13158,9635,15308,7519
H22,D11,D11,plate4,D,11,MATa,0,1,1,YPD,MATa,MATa,13322,9918,14878,7264
H23,D12,D12,plate3,D,12,MATa,0,1,1,YPD,MATa,MATa,15308,10023,14276,5868
H24,D12,D12,plate4,D,12,MATa,0,1,1,YPD,MATa,MATa,12900,7893,16254,5508
I01,E01,E1,plate1,E,01,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,17458,11761,25000,11237
I02,E01,E1,plate2,E,01,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20726,16105,21586,15244
I03,E02,E2,plate1,E,02,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,21844,16997,18318,17289
I04,E02,E2,plate2,E,02,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,13846,10185,13416,8800
I05,E03,E3,plate1,E,03,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,21844,17257,20296,13900
I06,E03,E3,plate2,E,03,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,13330,10054,12728,9123
I07,E04,E4,plate1,E,04,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,22102,17742,20554,15138
I08,E04,E4,plate2,E,04,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20468,16671,18490,13719
I09,E05,E5,plate1,E,05,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,16942,12261,14792,9237
I10,E05,E5,plate2,E,05,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,17286,13791,18404,13772
I11,E06,E6,plate1,E,06,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20726,16475,18490,13467
I12,E06,E6,plate2,E,06,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,18146,14810,17028,13127
I13,E07,E7,plate1,E,07,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,19436,15272,17028,12638
I14,E07,E7,plate2,E,07,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,18748,15386,18146,14284
I15,E08,E8,plate1,E,08,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,19436,15553,18404,13721
I16,E08,E8,plate2,E,08,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,19522,16240,19350,15452
I17,E09,E9,plate1,E,09,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16684,13283,17286,13158
I18,E09,E9,plate2,E,09,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,19092,15837,18232,14538
I19,E10,E10,plate1,E,10,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,15996,12739,17458,13383
I20,E10,E10,plate2,E,10,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,18490,15722,18576,14780
I21,E11,E11,plate1,E,11,MATalpha,0,1,1,YPD,MATalpha,MATalpha,16512,11661,17802,9482
I22,E11,E11,plate2,E,11,MATalpha,0,1,1,YPD,MATalpha,MATalpha,17286,13204,16426,9863
I23,E12,E12,plate1,E,12,MATalpha,0,1,1,YPD,MATalpha,MATalpha,20898,13545,18748,8798
I24,E12,E12,plate2,E,12,MATalpha,0,1,1,YPD,MATalpha,MATalpha,17716,13544,18920,10800
J01,E01,E1,plate3,E,01,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16942,10640,18146,8153
J02,E01,E1,plate4,E,01,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,17372,14012,19264,14572
J03,E02,E2,plate3,E,02,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,16426,12885,18232,13141
J04,E02,E2,plate4,E,02,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16340,13432,17630,14398
J05,E03,E3,plate3,E,03,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,17802,14231,18318,14451
J06,E03,E3,plate4,E,03,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,14362,11711,15652,12462
J07,E04,E4,plate3,E,04,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,17716,14455,16942,13582
